"Hersteller";"Herst.-Nr.";"Menge";"Designator";"Beschreibung";"Hinweis"
"Littelfuse";"60R050XU";10;"F1";"PPTC 60 V, 0,5 A hold / 1 A trip, radial RM 5,1";"ERSETZT MF-RHT050-2 (nur 30 V)"
"Phoenix Contact";"1770966";15;"J1, J2";"PTSM 0,5/3-2,5-V THR R44, 3-polig";"ERSETZT 1770953 (2-polig)"
"Diotec";"US1D";10;"D1";"Ultrafast 200 V / 1 A, SMA (DO-214AC)";"ERSETZT US2D (SMB, passt nicht auf D_SMA)"
"Yageo";"CC0603KRX7R9BB104";35;"C1, C7, C9, C11, C12";"100 nF 50 V X7R 0603";""
"Yageo";"CC0805KRX7R0BB104";10;"C4";"100 nF 100 V X7R 0805";"100 V (48-V-Schiene)"
"Samsung";"CL10A105KA8NNNC";10;"C5";"1 uF 25 V X5R 0603";""
"Samsung";"CL10A225KO8NNNC";10;"C6";"2,2 uF 16 V X5R 0603";""
"Samsung";"CL21A106KAYNNNE";10;"C8";"10 uF 25 V X5R 0805";""
"Murata";"GRM1885C1H102JA01D";10;"C10";"1 nF 50 V C0G 0603";""
"Murata";"GRM1885C1H472JA01D";10;"C13";"4,7 nF 50 V C0G 0603";"C0G fuer Split-Termination"
"Nichicon";"UVR2A101MPD";12;"C2, C3";"100 uF 100 V Elko, D10 x 20 mm, RM 5";"Bauhoehe 20 mm pruefen"
"Yageo";"RC0603FR-074K7L";10;"R1";"4,7 k 1 % 0603";""
"Yageo";"RC0603FR-0722RL";10;"R2";"22 R 1 % 0603";""
"Yageo";"RC0603FR-0710KL";15;"R3, R4";"10 k 1 % 0603";""
"Yageo";"RC0603FR-071ML";10;"R6";"1 M 1 % 0603";""
"Yageo";"RC0603FR-07150KL";10;"R7";"150 k 1 % 0603";"NICHT 100 k (Sense-Teiler)"
"Yageo";"RC0603FR-076K8L";15;"R8, R9";"6,8 k 1 % 0603";""
"Yageo";"RC0603JR-070RL";10;"R10";"0 R 0603";"nur auf EINEM Board bestuecken"
"Yageo";"RC0603FR-07470RL";10;"R11";"470 R 1 % 0603";""
"Yageo";"RC0603FR-0760R4L";15;"R12, R13";"60,4 R 1 % 0603";"E96, 1 %"
"Littelfuse";"SMAJ5.0CA";10;"D3";"TVS 5 V bidirektional, SMA";""
"Lite-On";"LTST-C191KRKT";10;"D4";"LED rot 0603";""
"CTS";"219-2LPSTJ";10;"SW1";"DIP-Schalter 2-pol., Low Profile, J-Bend, 2,54 mm";"Split-Termination, passt auf aktuellen Footprint"
"C&K";"PCM12SMTR";10;"SW3";"Schiebeschalter SPDT, 300 mA @ 6 VDC, SMD, seitlich betaetigt";"ERSETZT CHS-01TA1 (100 mA); Footprint -> Button_Switch_SMD:SW_SPDT_PCM12, Symbol SW_SPDT"
"Wurth Elektronik";"61300411121";10;"J6";"Stiftleiste 1x4, RM 2,54, THT vertikal";"UART-Debug"
"JST";"PHR-3";15;"J3, J5 (Gegenstecker)";"PH-Gehaeuse 3-polig";""
"JST";"SPH-002T-P0.5S";100;"J3, J5 (Kontakte)";"PH-Crimpkontakt AWG 30-24";""
